epoch;acc;loss
0;0.760104303177;0.492979843349
1;0.782268575537;0.476563637773
2;0.777053452377;0.474719527298
3;0.777053453543;0.478847846758
4;0.773142113213;0.472030948435
5;0.771838326498;0.473591704451
6;0.775749670325;0.478718150742
7;0.770534550662;0.474178991503
8;0.774445890992;0.477088456709
9;0.801825290009;0.469187008783
10;0.778357234042;0.472731374311
11;0.764015644672;0.483055259017
12;0.780964793484;0.465425169394
13;0.770534549108;0.473173700691
14;0.769230771446;0.473610504471
15;0.783572361087;0.467243938434
16;0.780964795427;0.464191936763
17;0.769230768221;0.478525584299
18;0.771838330772;0.473338904095
19;0.767926986673;0.47709474224
20;0.774445892663;0.470472095143
21;0.769230769386;0.477727173788
22;0.777053452377;0.463023592005
23;0.77053454833;0.474709057979
24;0.761408083287;0.479461010463
25;0.769230767055;0.480459210964
26;0.778357236373;0.463177840433
27;0.762711864951;0.474598558816
28;0.784876141974;0.455500671613
29;0.777053453543;0.45777840652
30;0.774445889826;0.466037948952
31;0.780964795039;0.469148026646
32;0.770534547553;0.46606284753
33;0.78096479737;0.459694354599
34;0.782268579811;0.462604004642
35;0.770534550273;0.461986645532
36;0.780964796204;0.462330898918
37;0.780964796204;0.466696050246
38;0.777053454709;0.465447200576
39;0.799217730178;0.452871660035
40;0.773142111659;0.47387700321
41;0.774445890215;0.465647206468
42;0.779661016094;0.473728242567
43;0.780964796204;0.460570348288
44;0.762711862619;0.472326727353
45;0.786179920141;0.456351029243
46;0.775749673045;0.459804754427
47;0.783572358367;0.463959463728
48;0.77966101726;0.463222039375
49;0.778357234819;0.455861233262
50;0.795306382854;0.455584630001
51;0.78748370336;0.460533351872
52;0.771838329606;0.469275478006
53;0.791395042524;0.454453169989
54;0.787483700251;0.4544117183
55;0.790091261248;0.462960653075
56;0.782268578646;0.458400856718
57;0.791395044078;0.45351620444
58;0.778357233264;0.455259819579
59;0.78878748075;0.455956027436
60;0.786179921307;0.459623296596
61;0.767926984614;0.460742695157
62;0.778357232992;0.463606596148
63;0.782268575926;0.457299423886
64;0.78878748075;0.452166248448
65;0.788787479584;0.460568694784
66;0.778357233653;0.459648278422
67;0.780964796981;0.446958985758
68;0.779661016483;0.458302501982
